,100-1- -a,245-1-0-a,260- - -c,653- - -a,lang,year,245-1-0-b,245-1-3-a,245-1-3-b
2011062708095,"Holm, Dagny",Zeppelin,2007,"grunnskolen, k06, lesebøker, lærebøker, mellomtrinnet, norsk",nno,2016,,,
2014111907535,"Holm, Dagny",Zeppelin,2007,"grunnskolen, k06, lesebøker, lærebøker, norsk",nno,2015,,,
2015090906138,"Daynes, Katie.",,2015,"barnebøker, drager, draker, lettlest",nno,2015,,,
2015091006002,"Punter, Russell.",,2015,"barnebøker, lettlest",nno,2015,,,
2015091006003,"Punter, Russell.",,2015,"barnebøker, katter, lettlest",nno,2015,,,
2015091006004,"Likar, Gudrun.",Prinsesse Fibi og draken,2015,"barnebøker, drager, draker, lettlest, prinsesser",nno,2015,,,
2015091006005,"Berge, Atle",Matias Maradona,2015,"barnebøker, fotball, lettlest",nno,2015,,,
2015091506021,"Muszynski, Eva",Cowboy-Claus og den prompande ponnien,2015,"barnebøker, lettlest",nno,2015,,,
2015091506022,"Mackinnon, Mairi.",Sola og vinden :,2015,"barnebøker, fabler, lettlest, æsop",nno,2015,basert på ein fabel av Æsop,,
2015091506023,"Heinlein, Sylvia",,2015,"barnebøker, lettlest",nno,2015,,,
2015091506024,"Markhus, Vegard",Epleslang,2015,"barnebøker, barnelitteratur, lettlest, norsk",nno,2015,,,
2015091506131,"Baltscheit, Martin.","Felline, professor Pål og kjemisettet",2015,,nno,2015,,,
2017111748095,"Sønnesyn, Gunvor",Abel,Cop. 2015,"grunnskole, lærebøker, matematikk",nno,2015,matematikk for grunnskulen,,
2017112048523,"Einarsen, Heidi Guttorm",,Cop. 2015,"geografi, grunnskole, k06, kunnskapsløftet, lærebøker, læreverk, samisk, språk",sme,2015,,,
2017112148519,"Sønnesyn, Gunvor",Abel,Cop. 2015,"grunnskolen, k13, kunnskapsløftetk06, lærebøker, læreplan, læreverk, matematikk, revidert",nob,2015,matematikk for grunnskolen,,
2017112148522,"Sønnesyn, Gunvor",Abel,Cop. 2015,"grunnskolen, k13, kunnskapsløftetk06, lærebøker, læreplan, læreverk, matematikk, revidert",nob,2015,matematikk for grunnskolen,,
2017112348581,"Sønnesyn, Gunvor",Abel,Cop. 2015,"grunnskole, lærebøker, matematikk",nno,2015,matematikk for grunnskulen,,
2017121808074,"Nesbø, Jo",Doktor Proktors tidsbadekar,2015,,nob,2015,,,
2017121908077,"Svingen, Vegard",Fredrik Fompel og tankemonstrene,cop. 2015,,nob,2015,,,
2018013048165,"Arvola, Ingeborg",Ryktet,2015,,nob,2015,,,
2018013048317,"Buchweitz, Donaldo.",Sjakk for barn,2015,,nob,2015,,,
2018013148155,"Scollon, Bill.",Doktor McStuffins,2015,,nob,2015,,,
2018020148018,"Ewo, Jon",Otto Monsters strandkaos,2015,"barnebøker, barnelitteratur, humor, lettlest, monstre, norsk",nob,2015,,,
2018020148076,"Drescher, Daniela",,cop. 2015,,nob,2015,,En midtsommernattsdrøm,
2018020148095,"Gordan, Kajsa",Kjelle i hundebarnehagen,2015,"barnehager, billedbøker, hunder",nob,2015,,,
2018020148157,"Stranger, Simon",Bestefar på rømmen,2015,"alzheimers, barnebarn, barnebøker, barnelitteratur, besteforeldre, billedbøker, demens, norsk, sykdom",nob,2015,,,
2018020248164,"Bringsværd, Tor Åge",Ulvegutten,2015,"barnebøker, barnelitteratur, lettlest, norsk",nob,2015,,,
2018020248165,"Bringsværd, Tor Åge",Tell med Tambar :,2015,"aktivitetsbøker, barnebøker, barnelitteratur, billedbøker, norsk, tall, troll",nob,2015,en aktivitetsbok,,
2018020248200,"Ganeri, Anita",Jorden på 2 minutter,cop. 2015,,nob,2015,,,
2018020548069,"Hofstad, Gunnleik",Venner for alltid :,2015,,nob,2015,"en bok for tenåringer om relasjoner, kjærlighet og sex",,
2018020848041,"Diskin, Elizabeth",Enter 8,2015,"engelsk, k13, lærebøker, læreverk, ungdomsskole, ungdomstrinnet",mul,2015,engelsk for ungdomstrinnet,,
2018020848059,"Durham, Paul.",Lykkeravnene,2015,,nob,2015,,,
2018021248060,"From, Käte",Jeg tør ikke :,2015,"angst, barn, barnebøker, barnehagen, foreldre, intervensjon, mestring, panikk, panikkangst, psykologi, skolen, sosial",nob,2015,Line og Hamid engster seg,,
2018022048009,"Wright, Sally Ann.",Bibelandaktsboka,cop. 2015,,nob,2015,,,
2018030248032,"Kroglund, Torolf",Tenk brett :,2015,"rullebrett, skateboarding, skating, sport",nob,2015,skateboarding i Norge,,
2018030548012,"Aamodt, Ingunn",Pulverheksa og trollet,2015,"barnebøker, bildebok, billedbøker",nob,2015,,,
2018030548092,"Naas, Tor Erling",Ulvehjerte,2015,,nob,2015,,,
2018030648100,"Bioret, Hugues",Paris for barn :,2015,,nob,2015,64 sider med fakta og lek for å oppdage Paris,,
2018031248066,"Pettersen, Siri",Råta,2015,,nob,2015,,,
2018031248072,"Svingen, Arne",Stormen,2015,"barnebøker, grøsser",nob,2015,,,
2018032348058,"Evensen, Liv Eirill",Drømmen om Neboria,2015,,nob,2015,,,
2018032348091,"Williamson, Karen.",Godnatthistorier fra Bibelen :,cop. 2015,,nob,2015,"tre, fem og ti minutters fortellinger",,
2018041648021,"Adams, Anne",Bibel-fakta,cop. 2015,,nob,2015,,,
2018041948072,"Tullet, Hervé",Farger,cop. 2015,"bildebøker, billedbøker, farger",nob,2015,,,
2018042048091,"Peers, Bobbie",Luridiumstyven,2015,,nob,2015,,,
2018042348631,"Benge, Janet",David Livingstone :,2015,,nob,2015,Afrikas ildsjel,,
2018050348007,"Teckentrup, Britta",Sirkel-jakt,2015,"bildebøker, billedbøker, former, geometri, norsk barnelitteratur",nob,2015,,,
2018050348020,"Brown, Pierce.",Rød revolt,cop. 2015,"fiction, framtidssamfunn, science, ungdomsbøker",nob,2015,,,
2018050448035,"Gaarder, Jostein",Sofies verden,2015,,nob,2015,,,
2018050448237,"Bringsværd, Tor Åge",Karsten + Petra i Afrika :,2015,,nob,2015,aktivitetsbok med flotte klistremerker og en helt ny historie om Løveungen og Frøken Kanin,,
2018050448238,"Straffi, Iginio",,[2015],,nob,2015,,,
2018050748007,"Blanco, Laura",Moro med verdier :,2015,,nob,2015,52 uker med aktiviteter for å lære barna,,
2018050748080,"Blerk, René van.",,2015,"bildebøker, billedbøker, edvard, gogh, munch, van, vincent",nob,2015,,En strålende dag :,med Edvard Munch og Vincent van Gogh
2018050748283,"Hellstenius, Axel",Nærkamp,2015,,nob,2015,,,
2018050748307,"Taavetti, Salla",Finsk :,[2015?],"finsk, grunnskole, lærebøker, språk",mul,2015,6,,
2018050748567,"Egeland, Tom",Mumiens mysterium,cop. 2015,"barnebøker, krim, litteratur, norsk, romaner, spenning, ungdomsbøker",nob,2015,,,
2018050748568,"Røssland, Tor Arve",Glimt,2015,,nno,2015,,,
2018051448017,"Green, John","Will Grayson, Will Grayson",2015,,nob,2015,,,
2018051448241,"From, Käte",Tenk hvis? :,2015,"OCD, PTSD, angst, barn, barnebøker, fobier, generalisert, helseangst, intervensjon, mestring, panikk, panikkangst, posttraumatisk stresslidelse, separasjonsangst, skolen, sosial, sosial, sosial fobi, sykdomsangst, tvangslidelse, tvangstanker",nob,2015,Sigrid og Erik engster seg,,
2018051448601,"Grøntvedt, Nina Elisabeth","Hei, det er meg! :",2015,,nob,2015,"ikke la meg bli alene igjen her- ; (PS: Alt jeg nå skal fortelle deg, er 110 % sant!!!)",,
2018051648060,"Brandt, Sverre",Reisen til julestjernen :,2015,"barn, drama",nob,2015,et eventyr for barn i 5 bilder,,
2018052348076,"Alseth, Bjørnar",Multi [5-7],2015,"grunnskolen, k13, kunnskapsløftetk06, lærebøker, læreplan, læreverk, matematikk, revidert",nob,2015,,,
2018052948030,"Cousins, Lucy",Tell med Molly :,cop. 2015,"billedbøker, klaffebok, pekebok, tall, telling",nob,2015,"pip, pip, pip!",,
2018053048035,"Benge, Janet",Lillian Trasher :,2015,,nob,2015,Egypts største underverk,,
2018053048078,"Lindgren, Astrid",Pippi Langstrømpe puslespillbok :,cop. 2015,,nob,2015,5 puslespill med 12 brikker,,
2018060548201,"Gallego García, Laura",Til minne om Idhun,[2015],,nob,2015,,,
2018060748060,"Kaldhol, Marit",Zweet,2015,"etikk, mot, ungdom, ungdomsbøker",nno,2015,,,
2018060748061,"Stephens, John",Dødens bok,2015,,nob,2015,,,
2018060748062,"Rydland, Asbjørn",Fredlaus,2015,"fantastisk litteratur, fantasy, ungdomsbøker",nno,2015,,,
2018060748068,"Hjulstad, Kjartan",Minnesota og støvet,2015,"alkoholisme, alkoholmisbruk, barn, familievold, indianere, litteratur, norsk, rasisme, skjønnlitteratur, ungdom",nob,2015,,,
2018060748076,"Linmo, Bente René",Lysbæreren,2015,,nob,2015,,,
2018060748077,"Pettersen, Siri",Evna,2015,,nob,2015,,,
2018060748078,"Guåker, Helene",Juksemaker,cop. 2015,,nob,2015,,,
2018060748079,"LaMarche, Una.",Bare i Brooklyn,2015,"amerikansk, litteratur, roman",nob,2015,,,
2018060748080,"Fjestad, Ellen",Døgnfluedans,2015,,nob,2015,,,
2018060748085,"Gaarder, Jostein",Kabalmysteriet,2015,,nob,2015,,,
2018060748090,"Pettersen, Siri",Råta,2015,,nob,2015,,,
2018060807044,"Lyga, Barry",Game,2015,,nob,2015,,,
2018060807049,"Johnsen, Janne Aasebø",Kamuflasje,2015,"forelskelse, norsk, oppvekst, romaner, ungdomsbøker, ungdomslitteratur",nob,2015,,,
2018060807050,"Mostue, Sigbjørn",Marlens historie,2015,,nob,2015,,,
2018060807058,"Dashner, James",,2015,"amerikansk, fiction, roman, science, ungdomslitteratur",nob,2015,,,
2018060807068,"Everest, D.D..",Archie Greene og det magiske museet,2015,"barnebøker, fantastisk, fantasy, magi, spenning, trolldom, ungdomsbøker",nob,2015,,,
2018060807101,"Simukka, Salla",Svart som ibenholt,2015,"fantasy, finske, skjønnlitteratur, spenning, thrillere, ungdomsbøker",nob,2015,,,
2018060807125,"Shannon, Samantha",Mimeordenen,cop. 2015,"fantasy, romaner, ungdomsbøker",nob,2015,,,
2018060807141,"Loughead, Deb",Trommer og trøbbel,2015,,nob,2015,,,
2018060807142,"Ingvaldsen, Bjørn",Sønnen til læreren,2015,"barn, barnebøker, fedre, humor",nob,2015,,,
2018060807146,"Palacio, R.J.",Mirakel,2015,,nob,2015,,,
2018060807147,"Rødstøl, Berit",Frøppeldunk,2015,"barnebøker, camping, miljøvern, vennskap",nno,2015,,,
2018060807148,"Mostue, Sigbjørn",Brages historie,2015,"epidemier, framtidssamfunn",nob,2015,,,
2018060807149,"Jones, Gareth P.",Arvingene,2015,,nob,2015,,,
2018060807150,"Lindell, Unni","Elsker, elsker ikke",2015,,nob,2015,,,
2018060807151,"Linde, Heidi",Pym Pettersons mislykka skoleball,2015,"antiheltinner, barnelitteratur, humor, norsk, roman",nob,2015,,,
2018060807160,"Molaug, Marius Horn",Verdens verste ferie,2015,,nob,2015,,,
2018060807161,"Bendixen, Solveig Blindheim",Teo tøffar seg,2015,"17., barnebøker, lettlest, litteratur, mai, norsk, skjønnlitteratur",nno,2015,,,
2018060807163,"McClintock, Norah.",Falske toner,2015,,nob,2015,,,
2018060807164,"Lian, Torun",Reserveprinsesse Andersen,2015,,nob,2015,,,
2018060807165,"Lindboe, Karin Kinge",Sam og Noa redder nitten meitemark og en humle,2015,"barnebøker, lettlest",nob,2015,,,
2018060807166,"Nortun, Harald",Eksperimentet :,2015,"barnebøker, kjønnsroller, tvillinger",nno,2015,roman,,
2018060807168,"Svingen, Arne",[Gravplyndrere],2015,,nob,2015,,,
2018060807170,"Karlsson, Ørjan N.",Tidsrosen,2015,"fantasy, norsk, skjønnlitteratur, ungdomsbøker",nob,2015,,,
2018060807173,"Dorsey, Angela.",Fanget av skygger,2015,,nob,2015,,,
2018061107004,"Kaup, Ulrike",,2015,,nob,2015,,,
2018061107005,"Bieniek, Christian",Gulrot-Guro :,2015,,nob,2015,sterke jenter holder sammen,,
2018061107006,"Bosse, Sarah",,2015,,nob,2015,,Et monster i mattetimen,
2018061107007,"Bieniek, Christian",Gulrot-Guro og de sterke jentenes klubb,2015,,nob,2015,,,
2018061107008,"Kaup, Ulrike",,2015,,nob,2015,,En ny hest på gården,
2018061107009,"Nahrgang, Frauke",Fotballfortellinger,2015,,nob,2015,,,
2018061107010,"Mai, Manfred",,2015,,nob,2015,,En fotball for mye,
2018061107011,"Mai, Manfred",Vennskapsfortellinger,2015,,nob,2015,,,
2018061107012,"Banscherus, Jürgen",Detektivduellen,2015,,nob,2015,,,
2018061107014,"Hänel, Wolfram",Mobilen som forsvant,2015,,nob,2015,,,
2018061107015,"Kaup, Ulrike",Hestehistorier,2015,,nob,2015,,,
2018061107016,"Frey, Jana",Detektivhistorier,2015,,nob,2015,,,
2018061107018,"Banscherus, Jürgen",Tyggegummikomplottet,2015,,nob,2015,,,
2018061107019,"Bieniek, Christian",Gulrot-Guro og verdens søteste hund,2015,hunder,nob,2015,,,
2018061107020,"Knape, Wolfgang",Peter Pan,2015,,nob,2015,,,
2018061107021,"Lindell, Unni","Kyss meg da, sa Ella",2015,,nob,2015,,,
2018061107023,"Losnegård, Rolf",,cop. 2015,"Arktis, barnebøker, humor, klimaendringer, litteratur, nynorsk   $$  norsk, oppfinnelser",nno,2015,,,
2018061107044,"Pedersen, Bente",Ingen vei tilbake,2015,,nob,2015,,,
2018061107068,"Larsson, Tobbe",,2015,,nob,2015,,,
2018061107082,"Ernstsen, Martin",Fillip flipper ut,2015,,nob,2015,,,
2018061107093,"Hovde, Anja",Tuppeline får smaken på det søte liv,2015,,nob,2015,,,
2018061107094,"Löfgren, Ulf",Tøysekoppen Ludde,2015,,nob,2015,,,
2018061107516,"Riordan, Rick",Hades' hus,cop. 2015,,nob,2015,,,
2018061207001,"Janouch, Katerina",Ingrid og Ivar feirer jul,2015,"billedbøker, lek, vennskap",nob,2015,,,
2018061207002,"Svatun, Birte",Kroppen,2015,"anatomi, barnebok, kropp, kroppen",nob,2015,,,
2018061207003,"Stokholm, Steen",Robin van Persie,cop. 2015,,nob,2015,,,
2018061207007,"Aalbu, Ragnar",Krokodille i treet,2015,"barnelitteratur, billedbøker, klatring, krokodiller, norsk",nob,2015,,,
2018061207016,"Löfgren, Ulf",Kong Ludde,2015,"billedbøker, humor",nob,2015,,,
2018061207017,"Barder, Gemma.",Jentekveld,cop. 2015,,nob,2015,,,
2018061207019,"Prøysen, Alf",Geitekillingen som kunne telle til ti,2015,"bildebok, billedbok, dyr, tall",nob,2015,,,
2018061207020,"Bosse, Sarah",FK Kokosnøtt,[2015],,nob,2015,,,
2018061207023,"Wahl, Andreas","Hvorfor smelter ost, men ikke skinke?",cop. 2015,barnebøker,nob,2015,,,
2018061207035,"Osland, Erna",Når det regnar i Afrika :,2015,"barnebøker, klima, klimaendringer, meteorologi, vêr, vær, værvarslinger",nno,2015,ei bok om vêr og klimaendringar,,
2018061207048,"Jonsen, Jen.",Inviter til bursdagsfest!,cop. 2015,,nob,2015,,,
2018061207160,"Miyazaki, Hayao",Chihiro og heksene,cop. 2015,,nob,2015,,,
2018061207186,"Pastis, Stephan",Vi møtes igjen,2015,,nob,2015,,,
2018061207204,"Bakken, Heidi Constanse Næs",Melodux,2015,,nob,2015,,,
2018061207220,"Child, Lauren",Duften av død,2015,"spenningsromaner, ungdomsbøker",nob,2015,,,
2018061207508,"Diep, Nhu",Lille Ting spiser ABC,2015,,nob,2015,,,
2018061207509,"Grossmann, Kari",Malvin får middagsbesøk,2015,"barnebøker, fedre, sønner",nob,2015,,,
2018061207516,"Siri, Hege",Tunellen,cop. 2015,"bildebøker, biletbøker, billedbøker, kaninar, kaniner $a dyr",nob,2015,,,
2018061207517,"Novak, B.J.",Boka uten bilder,2015,,nob,2015,,,
2018061207518,"Ersland, Bjørn Arild",Naboen er en heks,2015,"barn, bildebøker, billedbøker, eldre",nob,2015,,,
2018061207541,"Skjelvik, Jonny","Litt om dyr, og så god natt",2015,,nno,2015,,,
2018061207544,"Aarø, Selma Lønning",Vampyrdihkki!,2015,,sme,2015,,,
2018061207545,"Solberg, Ingvill",Mistesmykket,2015,"barn, barnelitteratur, bildebøker, billedbøker, hemmeligheter, norsk, skyldfølelse, tyveri",nob,2015,,,
2018061207546,"Ask, Lene",D for tiger,2015,"barn, barne-litteratur, bildebøker, biletbøker, billedbøker, dysleksi, lese-, lesevansker, lesing, norsk, sinne, skrivevansker, skriving",nob,2015,,,
2018061207548,"Teckentrup, Britta",To kule katter og andre par,2015,"billedbøker, dyr, myldrebok, regler, rim",nob,2015,,,
2018061207595,"Nadin, Joanna",Krise-Kristine knuser rekorder,2015,"barnebøker, barnelitteratur, humor",nob,2015,,,
2018061407501,"Wegge, Kathrine",Rektor Knirk,2015,"grunnskole, lesing, lærebøker",nob,2015,,,
2018061407502,"Solem, Hanne",Kalle og Bulle på tøff biltur,2015,"grunnskole, lesing, lærebøker",nob,2015,,,
2018061407503,"Dahl, Tor Edvin",Martins flytur,2015,"grunnskole, lesing, lærebøker",nob,2015,,,
2018061407504,"Rønningen, Hilde Aas",L.K.U.F.,2015,,nno,2015,,,
2018061407505,"Solem, Hanne",Jonnas dagbok 2,2015,,nno,2015,,,
2018061407506,"Rønningen, Hilde Aas",Det store julespelet,2015,,nno,2015,,,
2018061407507,"Solem, Hanne",Kalle og Bulle på tøff biltur,2015,,nno,2015,,,
2018061407508,"Kvalnes, Øyvind",Målvakten,2015,"grunnskole, lesing, lærebøker",nob,2015,,,
2018061407510,"Heiberg, Anette V.",Onkel Bjørn,2015,"grunnskole, lesing, lærebøker",nob,2015,,,
2018061407516,"Dahl, Tor Edvin",Sanna og dragen,2015,"grunnskole, lesing, lærebøker",nob,2015,,,
2018061407517,"Wegge, Kathrine",Ukas mål,2015,"grunnskole, lesing, lærebøker",nob,2015,,,
2018061807012,"Banke, Peter",Alt om Chelsea,2015,,nob,2015,,,
2018061807019,"Klepp, Anneli",Boble-løgner,2015,,nob,2015,,,
2018061807020,"Lagercrantz, Rose",Hjertet mitt hopper og ler,2015,,nob,2015,,,
2018061807021,"Platt, Chris.",Tilbake til livet,2015,,nob,2015,,,
2018061807022,"Kallestad, Jarle",Som en tyv om natten,cop. 2015,,nob,2015,,,
2018061807024,"Klepp, Anneli",Mia blir spion,2015,"barnebøker, lettlest, vennskap",nob,2015,,,
2018061807034,"Green, John",Papirbyer,2015,,nob,2015,,,
2018061807050,"Grevet, Yves",Huset,2015,"dystopier, framtidssamfunn, franske, science fiction, spenning, ungdomsbøker",nob,2015,,,
2018061807053,"Green, John",,2015,"forelskelse, ungdomsbøker",nob,2015,,En overflod av Katheriner,
2018061807055,"Pantermüller, Alice",Skikkelig markelig,2015,,nob,2015,,,
2018061807065,"Morgan, Sally",Dyrene,2015,"barnebøker, dyr, faktabøker, fauna, oppslagsverk",nob,2015,,,
2018061807068,"Larsson, Åsa",Trollharen,2015,,nob,2015,,,
2018061807069,"Larsson, Åsa",Nidstangen,2015,"barnelitteratur, spenning",nob,2015,,,
2018061807080,"Daugherty, C.J.",Bak murene,cop. 2015,,nob,2015,,,
2018061807082,"Bolstad, Anna Eline",Ut av byen,2015,,nob,2015,,,
2018061807084,"Kapelrud, Kristian",Pakten,cop. 2015,,nob,2015,,,
2018061807085,"Benge, Janet",C.S. Lewis :,cop. 2015,"forfattere, storbritannia",nob,2015,fantastisk historieforteller,,
2018061807086,"Kaaberbøl, Lene",Slangens gåve,2015,"fantastisk, fantasy, litteratur",nno,2015,,,
2018061807087,"Hunter, Erin",Midnatt,cop. 2015,,nob,2015,,,
2018061807088,"Kaaberbøl, Lene",Skammarkrigen,2015,"fantastisk, fantasy, litteratur",nno,2015,,,
2018061807516,"Dahl, Hanne Hafnor",Radius,2015,"grunnskole, lærebøker, matematikk",nno,2015,matematikk for barnetrinnet,,
2018061807523,"Formoe, Terje",Kaptein Sabeltann :,2015,,nob,2015,"ai, ai, kæpten!",,
2018061807524,"Berlin, Andrea",Hester i konkurranse,cop. 2015,,nob,2015,,,
2018061807531,"Alseth, Bjørnar",Multi [5-7],2015,"grunnskolen, k13, kunnskapsløftet, lærebøker, læreverk, matematikk, revidert læreplan",nob,2015,,,
2018061807546,"Ødegård, Jan",Balder spion og fippskjeggkjæresten,cop. 2015,,nob,2015,,,
2018061807560,"Widmark, Martin",Brannmysteriet,2015,"barnebøker, barnelitteratur, krim, svensk",nob,2015,,,
2018061807565,"McClintock, Norah.",Hvem er den skyldige?,2015,,nob,2015,,,
2018061807567,"Pichon, Liz",Alt er helt topp (nesten),2015,,nob,2015,,,
2018061807572,"Master, Maryam",Rumling i jungelen,cop. 2015,,nob,2015,,,
2018061807573,"Neale, Kirsty.",,2015,,nob,2015,,En verden av dinosaurer,
2018061807577,"Simmons, Anthea.",Verdens beste baby! ; Dele!,2015,,nob,2015,,,
2018061807578,"Horst, Jørn Lier",Jakten på kaptein Kroghs gull,2015,,nob,2015,,,
2018061807579,"Moursund, Jill",Bella og Bob lager bøll,2015,"barnelitteratur, bildebøker, billedbøker, hjemmefra, norsk, rømme, søsken, ugagn",nob,2015,,,
2018061807580,"Knutsen, Alf",Operasjon opprydning,2015,,nob,2015,,,
2018061807582,"Stueland, Unni Rom",Jumpi vil bli brannmann,2015,,nob,2015,,,
2018061807583,"Salinas, Veronica",Sulten,cop. 2015,"bildebøker, billedbøker, norsk barnelitteratur",nob,2015,,,
2018061807584,"Vestly, Anne-Cath.",Mormor og de åtte ungene får ku,2015,"barn, bildebok, billedbøker",nob,2015,,,
2018061807585,"Røste, Inger Johanne",Løven og gutten som ble glad :,2015,"barnebøker, flukt, zimbabwe",nob,2015,en historie fra Zimbabwe,,
2018061807593,"Heggland-Haslerud, Guri",Tante Milla har kreft i puppen! :,2015,"barnebøker, brystkreft, kreft, sykdommer",nob,2015,en bok om brystkreft for barn,,
2018061807596,"Strüwer, Ardina",Hest &amp; moro!,2015?,,nob,2015,,,
2018061807629,"Morris, Neil",Juniorleksikon,2015,,nob,2015,,,
2018061807630,"Steen, Thorvald",Noen ganger har du helt rett,2015,"barnelitteratur, bildebøker, billedbøker, grøssere, norsk, piggsvin, spenning, ungdomsbøker",nob,2015,,,
2018061807641,"Solberg, Cecilie",Stairs,2015,"engelsk, grunnskolen, lærebøker, mellomtrinnet",mul,2015,,,
2018061807652,"Ayres, Jane.",Balansekunst,2015,,nob,2015,,,
2018061907511,"Merino, Gemma.",Krokodillasj mij ittjij tjáhtjáj lijkku,2015,"barnebøker, bildebøker, billedbøker, krokodiller",mul,2015,,,
2018061907571,"Fry, Michael",Kong Karl,2015,,nob,2015,,,
2018061907613,"Rønningen, Hilde Aas",L.K.U.F.,2015,"grunnskole, lesing, lærebøker",nob,2015,,,
2018061907614,"Loberg, Steffen.",Gatebil,2015,,nno,2015,,,
2018061907615,"Kvalnes, Øyvind",Cupfinalen,2015,,nno,2015,,,
2018061907620,"Riordan, Rick",Athenes merke,2015,"barnebøker, fantastisk, fantasy, gresk mytologi, ungdomsbøker",nob,2015,,,
2018062207513,"Velander, Pernilla",Herlige føll,cop. 2015,,nob,2015,,,
2018062207515,"Hapka, Catherine.",Sofia den første,2015,,nob,2015,,,
2018062507013,"Yancey, Rick.",Det endeløse havet,2015,,nob,2015,,,
2018062507069,"Taylor, Laini",Mørk engel,2015,"amerikansk, fantasy, ungdomslitteratur",nob,2015,,,
2018062507072,"Noreng, Jan Tore",,2015,"instagram, internett, skjønnlitteratur, ungdomsbøker, ungdomsromaner",nob,2015,,,
2018062507081,"Stroud, Jonathan",,2015,ungdomsbøker,nob,2015,,,
2018062607026,"Kort, Kees de.",,cop. 2015,,nob,2015,,,
2018062607030,"Aakeson, Kim Fupz",Jeg er William,2015,,nob,2015,,,
2018062607041,"Loberg, Steffen.",Gatebil,2015,"grunnskole, lesing, lærebøker",nob,2015,,,
2018062607050,"Cooper, Sari.",Elvehesten,2015,,nob,2015,,,
2018062607117,"Stephens, John",Ildkrøniken,2015,,nob,2015,,,
2018062607590,"Gifford, Clive.",Verdensrommet på 2 minutter,cop. 2015,,nob,2015,,,
2018062607615,"From, Käte.",Jeg vil! :,2015,"ansvar, barn, barnepsykologi, bestemme, psykologi, selv, selvbestemmelse, utviklingspsykologi, vilje",nob,2015,Emil og Trine bestemmer selv,,
2018062607616,"From, Käte",Konger og dronninger :,2015,"ansvar, atferd, barn, barnepsykologi, bestemme, psykologi, selvbestemmelse, utfordrende, utviklingspsykologi, vilje",nob,2015,Aleksander og Julie bestemmer selv,,
2018062705141,"Hjardar, Espen",Faktor,2015,"grunnskolen, k13, kunnskapsløftetk06, lærebøker, læreplan, læreverk, matematikk, revidert",nob,2015,,,
2018062707003,"Husebye, Sylvi Jane",Perlene,2015,,nob,2015,,,
2018062707051,"Aveyard, Victoria",Rød dronning,2015,,nob,2015,,,
2018062707194,"Simon, Francesca",Rampete Robin blir rik,2015,,nob,2015,,,
2018062707211,"Bade, Anne Helene Røise",Quest,2015,"engelsk, grunnskolen, lærebøker, læreverk",mul,2015,,,
2018062707213,"Bade, Anne Helene Røise",Quest 1-7,2015,"barnetrinnet, engelsk, grunnskolen, k13, lærebøker, læreverk",mul,2015,,,
2018062707252,"Delaney, Joseph",Vokterens skjebne,2015,"fantasy, ungdomsbøker",nob,2015,,,
2018062707298,"Lockhart, E.",Vi var løgnere,2015,"romaner, ungdomsbøker",nob,2015,,,
2018062807019,"Fry, Michael",Bøllebråk,2015,,nob,2015,,,
2018062807021,"Smith, Dan",Big game :,2015,ungdomsbøker,nob,2015,jakten er i gang,,
